Ticker,FirstDate,LastDate
CPRT,2005-01-03,2023-12-29
CPT,2005-01-03,2023-12-29
CRM,2005-01-03,2023-12-29
CSCO,2005-01-03,2023-12-29
CSGP,2005-01-03,2023-12-29
CSX,2005-01-03,2023-12-29
CTAS,2005-01-03,2023-12-29
CTRA,2005-01-03,2023-12-29
CTSH,2005-01-03,2023-12-29
CVS,2005-01-03,2023-12-29
CVX,2005-01-03,2023-12-29
D,2005-01-03,2023-12-29
DD,2005-01-03,2023-12-29
DE,2005-01-03,2023-12-29
DECK,2005-01-03,2023-12-29
DGX,2005-01-03,2023-12-29
DHI,2005-01-03,2023-12-29
DHR,2005-01-03,2023-12-29
DIS,2005-01-03,2023-12-29
DLR,2005-01-03,2023-12-29
DLTR,2005-01-03,2023-12-29
DOC,2005-01-03,2023-12-29
DOV,2005-01-03,2023-12-29
DPZ,2005-01-03,2023-12-29
DRI,2005-01-03,2023-12-29
DTE,2005-01-03,2023-12-29
DUK,2005-01-03,2023-12-29
DVA,2005-01-03,2023-12-29
DVN,2005-01-03,2023-12-29
EA,2005-01-03,2023-12-29
EBAY,2005-01-03,2023-12-29
ECL,2005-01-03,2023-12-29
ED,2005-01-03,2023-12-29
EFX,2005-01-03,2023-12-29
EG,2005-01-03,2023-12-29
EIX,2005-01-03,2023-12-29
EL,2005-01-03,2023-12-29
ELV,2005-01-03,2023-12-29
EMN,2005-01-03,2023-12-29
EMR,2005-01-03,2023-12-29
EOG,2005-01-03,2023-12-29
EQIX,2005-01-03,2023-12-29
EQR,2005-01-03,2023-12-29
EQT,2005-01-03,2023-12-29
ERIE,2005-01-03,2023-12-29
ES,2005-01-03,2023-12-29
ESS,2005-01-03,2023-12-29
ETN,2005-01-03,2023-12-29
ETR,2005-01-03,2023-12-29
EVRG,2005-01-03,2023-12-29
EW,2005-01-03,2023-12-29
EXC,2005-01-03,2023-12-29
EXPD,2005-01-03,2023-12-29
EXR,2005-01-03,2023-12-29
F,2005-01-03,2023-12-29
FAST,2005-01-03,2023-12-29
FCX,2005-01-03,2023-12-29
FDS,2005-01-03,2023-12-29
FE,2005-01-03,2023-12-29
FFIV,2005-01-03,2023-12-29
FI,2005-01-03,2023-12-29
FICO,2005-01-03,2023-12-29
FIS,2005-01-03,2023-12-29
FITB,2005-01-03,2023-12-29
FRT,2005-01-03,2023-12-29
GD,2005-01-03,2023-12-29
GE,2005-01-03,2023-12-29
GEN,2005-01-03,2023-12-29
GILD,2005-01-03,2023-12-29
GL,2005-01-03,2023-12-29
GLW,2005-01-03,2023-12-29
GOOG,2005-01-03,2023-12-29
GOOGL,2005-01-03,2023-12-29
GPC,2005-01-03,2023-12-29
GPN,2005-01-03,2023-12-29
GRMN,2005-01-03,2023-12-29
GS,2005-01-03,2023-12-29
GWW,2005-01-03,2023-12-29
HAL,2005-01-03,2023-12-29
HAS,2005-01-03,2023-12-29
HBAN,2005-01-03,2023-12-29
HD,2005-01-03,2023-12-29
HIG,2005-01-03,2023-12-29
HOLX,2005-01-03,2023-12-29
HON,2005-01-03,2023-12-29
HPQ,2005-01-03,2023-12-29
HRL,2005-01-03,2023-12-29
HSIC,2005-01-03,2023-12-29
HST,2005-01-03,2023-12-29
HSY,2005-01-03,2023-12-29
HUBB,2005-01-03,2023-12-29
HUM,2005-01-03,2023-12-29
IBM,2005-01-03,2023-12-29
IDXX,2005-01-03,2023-12-29
IEX,2005-01-03,2023-12-29
IFF,2005-01-03,2023-12-29
INCY,2005-01-03,2023-12-29
INTU,2005-01-03,2023-12-29
IP,2005-01-03,2023-12-29
IPG,2005-01-03,2023-12-29
IRM,2005-01-03,2023-12-29
ISRG,2005-01-03,2023-12-29
IT,2005-01-03,2023-12-29
ITW,2005-01-03,2023-12-29
IVZ,2005-01-03,2023-12-29
J,2005-01-03,2023-12-29
JBHT,2005-01-03,2023-12-29
JBL,2005-01-03,2023-12-29
JCI,2005-01-03,2023-12-29
JKHY,2005-01-03,2023-12-29
JNJ,2005-01-03,2023-12-29
JPM,2005-01-03,2023-12-29
K,2005-01-03,2023-12-29
KEY,2005-01-03,2023-12-29
KLAC,2005-01-03,2023-12-29
KMB,2005-01-03,2023-12-29
KMX,2005-01-03,2023-12-29
KO,2005-01-03,2023-12-29
KR,2005-01-03,2023-12-29
L,2005-01-03,2023-12-29
LEN,2005-01-03,2023-12-29
LH,2005-01-03,2023-12-29
LHX,2005-01-03,2023-12-29
LII,2005-01-03,2023-12-29
LIN,2005-01-03,2023-12-29
LKQ,2005-01-03,2023-12-29
LLY,2005-01-03,2023-12-29
LMT,2005-01-03,2023-12-29
LNT,2005-01-03,2023-12-29
LOW,2005-01-03,2023-12-29
LRCX,2005-01-03,2023-12-29
LUV,2005-01-03,2023-12-29
LVS,2005-01-03,2023-12-29
MAA,2005-01-03,2023-12-29
MAR,2005-01-03,2023-12-29
MAS,2005-01-03,2023-12-29
MCD,2005-01-03,2023-12-29
MCHP,2005-01-03,2023-12-29
MCK,2005-01-03,2023-12-29
MCO,2005-01-03,2023-12-29
MDLZ,2005-01-03,2023-12-29
MDT,2005-01-03,2023-12-29
MET,2005-01-03,2023-12-29
MGM,2005-01-03,2023-12-29
MHK,2005-01-03,2023-12-29
MKC,2005-01-03,2023-12-29
MKTX,2005-01-03,2023-12-29
MLM,2005-01-03,2023-12-29
MMC,2005-01-03,2023-12-29
MMM,2005-01-03,2023-12-29
MNST,2005-01-03,2023-12-29
MO,2005-01-03,2023-12-29
MOH,2005-01-03,2023-12-29
MOS,2005-01-03,2023-12-29
MPWR,2005-01-03,2023-12-29
MRK,2005-01-03,2023-12-29
MS,2005-01-03,2023-12-29
MSFT,2005-01-03,2023-12-29
MSI,2005-01-03,2023-12-29
MTB,2005-01-03,2023-12-29
MTCH,2005-01-03,2023-12-29
MTD,2005-01-03,2023-12-29
MU,2005-01-03,2023-12-29
NDAQ,2005-01-03,2023-12-29
NDSN,2005-01-03,2023-12-29
NEE,2005-01-03,2023-12-29
NEM,2005-01-03,2023-12-29
NI,2005-01-03,2023-12-29
NKE,2005-01-03,2023-12-29
NOC,2005-01-03,2023-12-29
NRG,2005-01-03,2023-12-29
NSC,2005-01-03,2023-12-29
NTAP,2005-01-03,2023-12-29
NTRS,2005-01-03,2023-12-29
NUE,2005-01-03,2023-12-29
NVDA,2005-01-03,2023-12-29
NVR,2005-01-03,2023-12-29
O,2005-01-03,2023-12-29
ODFL,2005-01-03,2023-12-29
OKE,2005-01-03,2023-12-29
OMC,2005-01-03,2023-12-29
ON,2005-01-03,2023-12-29
ORCL,2005-01-03,2023-12-29
ORLY,2005-01-03,2023-12-29
OXY,2005-01-03,2023-12-29
PAYX,2005-01-03,2023-12-29
PCAR,2005-01-03,2023-12-29
PCG,2005-01-03,2023-12-29
PEG,2005-01-03,2023-12-29
PEP,2005-01-03,2023-12-29
PFE,2005-01-03,2023-12-29
PFG,2005-01-03,2023-12-29
PG,2005-01-03,2023-12-29
PGR,2005-01-03,2023-12-29
PH,2005-01-03,2023-12-29
PHM,2005-01-03,2023-12-29
PKG,2005-01-03,2023-12-29
PLD,2005-01-03,2023-12-29
PNC,2005-01-03,2023-12-29
PNR,2005-01-03,2023-12-29
PNW,2005-01-03,2023-12-29
POOL,2005-01-03,2023-12-29
PPG,2005-01-03,2023-12-29
PPL,2005-01-03,2023-12-29
PRU,2005-01-03,2023-12-29
PSA,2005-01-03,2023-12-29
PTC,2005-01-03,2023-12-29
PWR,2005-01-03,2023-12-29
QCOM,2005-01-03,2023-12-29
RCL,2005-01-03,2023-12-29
REG,2005-01-03,2023-12-29
REGN,2005-01-03,2023-12-29
RF,2005-01-03,2023-12-29
RJF,2005-01-03,2023-12-29
RL,2005-01-03,2023-12-29
RMD,2005-01-03,2023-12-29
ROK,2005-01-03,2023-12-29
ROL,2005-01-03,2023-12-29
ROP,2005-01-03,2023-12-29
ROST,2005-01-03,2023-12-29
RSG,2005-01-03,2023-12-29
RTX,2005-01-03,2023-12-29
SBAC,2005-01-03,2023-12-29
SCHW,2005-01-03,2023-12-29
SHW,2005-01-03,2023-12-29
SJM,2005-01-03,2023-12-29
SLB,2005-01-03,2023-12-29
SNA,2005-01-03,2023-12-29
SNPS,2005-01-03,2023-12-29
SPG,2005-01-03,2023-12-29
SPGI,2005-01-03,2023-12-29
SRE,2005-01-03,2023-12-29
STE,2005-01-03,2023-12-29
STLD,2005-01-03,2023-12-29
STT,2005-01-03,2023-12-29
STX,2005-01-03,2023-12-29
STZ,2005-01-03,2023-12-29
SWK,2005-01-03,2023-12-29
SWKS,2005-01-03,2023-12-29
SYK,2005-01-03,2023-12-29
SYY,2005-01-03,2023-12-29
T,2005-01-03,2023-12-29
TAP,2005-01-03,2023-12-29
TDY,2005-01-03,2023-12-29
TER,2005-01-03,2023-12-29
TFC,2005-01-03,2023-12-29
TGT,2005-01-03,2023-12-29
TJX,2005-01-03,2023-12-29
TKO,2005-01-03,2023-12-29
TMO,2005-01-03,2023-12-29
TPL,2005-01-03,2023-12-29
TPR,2005-01-03,2023-12-29
TRMB,2005-01-03,2023-12-29
TROW,2005-01-03,2023-12-29
TRV,2005-01-03,2023-12-29
TSCO,2005-01-03,2023-12-29
TT,2005-01-03,2023-12-29
TTWO,2005-01-03,2023-12-29
TXN,2005-01-03,2023-12-29
TXT,2005-01-03,2023-12-29
TYL,2005-01-03,2023-12-29
UDR,2005-01-03,2023-12-29
UHS,2005-01-03,2023-12-29
UNH,2005-01-03,2023-12-29
UNP,2005-01-03,2023-12-29
UPS,2005-01-03,2023-12-29
URI,2005-01-03,2023-12-29
USB,2005-01-03,2023-12-29
VLO,2005-01-03,2023-12-29
VMC,2005-01-03,2023-12-29
VRSN,2005-01-03,2023-12-29
VRTX,2005-01-03,2023-12-29
VTR,2005-01-03,2023-12-29
VTRS,2005-01-03,2023-12-29
VZ,2005-01-03,2023-12-29
WAB,2005-01-03,2023-12-29
WAT,2005-01-03,2023-12-29
WDC,2005-01-03,2023-12-29
WEC,2005-01-03,2023-12-29
WFC,2005-01-03,2023-12-29
WM,2005-01-03,2023-12-29
WMB,2005-01-03,2023-12-29
WMT,2005-01-03,2023-12-29
WRB,2005-01-03,2023-12-29
WSM,2005-01-03,2023-12-29
WST,2005-01-03,2023-12-29
WTW,2005-01-03,2023-12-29
WY,2005-01-03,2023-12-29
WYNN,2005-01-03,2023-12-29
XEL,2005-01-03,2023-12-29
XOM,2005-01-03,2023-12-29
YUM,2005-01-03,2023-12-29
ZBH,2005-01-03,2023-12-29
ZBRA,2005-01-03,2023-12-29
DXCM,2005-04-14,2023-12-29
BLDR,2005-06-28,2023-12-29
WBD,2005-07-08,2023-12-29
EXPE,2005-07-21,2023-12-29
CF,2005-08-11,2023-12-29
AMP,2005-09-15,2023-12-29
ICE,2005-11-16,2023-12-29
PSKY,2005-12-05,2023-12-29
LYV,2005-12-21,2023-12-29
CMG,2006-01-26,2023-12-29
UAL,2006-02-06,2023-12-29
TDG,2006-03-15,2023-12-29
MA,2006-05-25,2023-12-29
LDOS,2006-10-17,2023-12-29
FSLR,2006-11-17,2023-12-29
BR,2007-03-22,2023-12-29
SMCI,2007-03-29,2023-12-29
TMUS,2007-04-19,2023-12-29
DAL,2007-05-03,2023-12-29
PODD,2007-05-15,2023-12-29
TEL,2007-06-14,2023-12-29
BX,2007-06-22,2023-12-29
LULU,2007-07-27,2023-12-29
ULTA,2007-10-25,2023-12-29
MSCI,2007-11-15,2023-12-29
PM,2008-03-17,2023-12-29
V,2008-03-19,2023-12-29
AWK,2008-04-23,2023-12-29
KDP,2008-05-07,2023-12-29
SW,2008-06-17,2023-12-29
AVGO,2009-08-06,2023-12-29
VRSK,2009-10-07,2023-12-29
DG,2009-11-13,2023-12-29
CHTR,2010-01-05,2023-12-29
GNRC,2010-02-11,2023-12-29
LYB,2010-04-28,2023-12-29
CBOE,2010-06-15,2023-12-29
TSLA,2010-06-29,2023-12-29
KKR,2010-07-15,2023-12-29
NXPI,2010-08-06,2023-12-29
GM,2010-11-18,2023-12-29
TRGP,2010-12-07,2023-12-29
CPAY,2010-12-15,2023-12-29
KMI,2011-02-11,2023-12-29
HCA,2011-03-10,2023-12-29
HII,2011-03-22,2023-12-29
APO,2011-03-30,2023-12-29
MPC,2011-06-24,2023-12-29
XYL,2011-10-13,2023-12-29
APTV,2011-11-17,2023-12-29
EPAM,2012-02-08,2023-12-29
ENPH,2012-03-30,2023-12-29
PSX,2012-04-12,2023-12-29
AMCR,2012-05-15,2023-12-29
META,2012-05-18,2023-12-29
NOW,2012-06-29,2023-12-29
PANW,2012-07-20,2023-12-29
FANG,2012-10-12,2023-12-29
WDAY,2012-10-12,2023-12-29
ABBV,2013-01-02,2023-12-29
NCLH,2013-01-18,2023-12-29
ZTS,2013-02-01,2023-12-29
IQV,2013-05-09,2023-12-29
NWS,2013-06-19,2023-12-29
NWSA,2013-06-19,2023-12-29
CDW,2013-06-27,2023-12-29
ALLE,2013-11-18,2023-12-29
HLT,2013-12-12,2023-12-29
PAYC,2014-04-15,2023-12-29
ANET,2014-06-06,2023-12-29
CZR,2014-09-22,2023-12-29
CFG,2014-09-24,2023-12-29
KEYS,2014-10-20,2023-12-29
GDDY,2015-03-31,2023-12-29
KHC,2015-07-06,2023-12-29
PYPL,2015-07-06,2023-12-29
HPE,2015-10-19,2023-12-29
XYZ,2015-11-19,2023-12-29
FTV,2016-07-05,2023-12-29
DELL,2016-08-17,2023-12-29
TTD,2016-09-21,2023-12-29
VST,2016-10-05,2023-12-29
HWM,2016-11-01,2023-12-29
LW,2016-11-10,2023-12-29
INVH,2017-02-01,2023-12-29
IR,2017-05-12,2023-12-29
VICI,2018-01-02,2023-12-29
DAY,2018-04-26,2023-12-29
MRNA,2018-12-07,2023-12-29
FOXA,2019-03-12,2023-12-29
FOX,2019-03-13,2023-12-29
DOW,2019-03-20,2023-12-29
UBER,2019-05-10,2023-12-29
CTVA,2019-05-24,2023-12-29
CRWD,2019-06-12,2023-12-29
DDOG,2019-09-19,2023-12-29
CARR,2020-03-19,2023-12-29
OTIS,2020-03-19,2023-12-29
PLTR,2020-09-30,2023-12-29
DASH,2020-12-09,2023-12-29
ABNB,2020-12-10,2023-12-29
EXE,2021-02-10,2023-12-29
COIN,2021-04-14,2023-12-29
CEG,2022-01-19,2023-12-29
GEHC,2022-12-15,2023-12-29
KVUE,2023-05-04,2023-12-29
VLTO,2023-10-04,2023-12-29
